Category,Level1,Level2,Level3,Level4,Santa Clara,,GovXFer,Alameda,San Francisco,Total
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,
,Ground Water Level,Water usage,Urban/Rural Development,,30.24,b,,,,
,Ground Water Level,Water usage,Population Increase,,0.15,b,,,,
,Ground Water Level,Water usage,Population Increase,,-0.15,b,,,,
,Ground Water Level,Water usage,Population Increase,,0.265,b,,,,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.569,b,,,,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.144,b,,,,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.194,b,,,,
,Ground Water Level,Water usage,Urban/Rural Development,,-0.201,b,,,,
#NAME?,Reservoir Level,Water usage,Urban/Rural Development,,0.712,b,0,0,0,0
,Reservoir Level,Water usage,Urban/Rural Development,,10,b,,,,
,Reservoir Level,Water usage,Urban/Rural Development,,0.167,b,,,,
,Reservoir Level,Water usage,Population Increase,,0.138,b,,,,
,Reservoir Level,Water usage,Population Increase,,-0.051,b,,,,
,Reservoir Level,Water usage,Population Increase,,0,b,,,,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0,b,,,,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0.175,b,,,,
#NAME?,Reservoir Level,Water usage,Water Leakage/Seepage,,0.056,b,,,,0.38
,Precipitation,Rainfall,Climate,Average Temperature,0.189,b,,,,
,Precipitation,Rainfall,Climate,Humidity,0.2,b,,,,
,Precipitation,Rainfall,Climate,Wind,9.727,b,,,,
,Precipitation,Rainfall,Climate,Vegetative Cover,0.282,b,,,,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,10.97,b,,,,
,Precipitation,Snow melt/ Glacier,Climate,Humidity,2.912,b,,,,
,Precipitation,Snow melt/ Glacier,Climate,Wind,-0.059,b,,,,
,Precipitation,Snow melt/ Glacier,Climate,Vegetative Cover,0.068,,,,,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,-0.056,,,,,
,Precipitation,Rainfall,Climate,Vegetative Cover,-0.175,,,,,
,PDSI Index,,,,0.134,,,,,
,PDSI Index,,,,0.061,,,,,
,PDSI Index,,,,0.359,,,,,
,PDSI Index,,,,2.463,,,,,
,PDSI Index,,,,3.181,,,,,
,PDSI Index,,,,1.679,,,,,
,PDSI Index,,,,0.242,,,,,
,PDSI Index,,,,4.161,,,,,
,PDSI Index,,,,0.156,,,,,
,PDSI Index,,,,0.397,,,,,
