Category,Level1,Level2,Level3,Level4,SantaClara,,Alameda,SanFrancisco,SanMateo,SantaCruz,California,Total
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,0.15,
,Ground Water Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,-0.15,
,Ground Water Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,0.265,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.569,b,,,,,0.569,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.144,b,,,,,0.144,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.194,b,,,,,0.194,
,Ground Water Level,Water usage,Urban/Rural Development,,-0.201,b,,,,,-0.201,
#NAME?,Reservoir Level,Water usage,Urban/Rural Development,,0.712,b,0,0,0,,0.712,0
,Reservoir Level,Water usage,Urban/Rural Development,,10,b,,,,,10,
,Reservoir Level,Water usage,Urban/Rural Development,,0.167,b,,,,,0.167,
,Reservoir Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,0.138,
,Reservoir Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,-0.051,
,Reservoir Level,Water usage,Population Increase,,0.985,b,0.954,0.932,0.992,0.96,0,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0,b,,,,,0,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0.175,b,,,,,0.175,
#NAME?,Reservoir Level,Water usage,Water Leakage/Seepage,,0.056,b,,,,,0.056,0.38
,Precipitation,Rainfall,Climate,Average Temperature,1.07,b,0.86,0.97,1.05,1.05,0.189,
,Precipitation,Rainfall,Climate,Humidity,0.957,b,0.992,1.02,1.004,0.98,0.2,
,Precipitation,Rainfall,Climate,Wind,0.992,b,1.023,0.9833,1.017,1.003,9.727,
,Precipitation,Rainfall,Climate,Vegetative Cover,0.9582,b,0.8757,0.9764,0.9764,0.9582,0.282,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,1.07,b,0.86,0.97,1.05,1.05,10.97,
,Precipitation,Snow melt/ Glacier,Climate,Humidity,0.957,b,0.992,1.02,1.004,0.98,2.912,
,Precipitation,Snow melt/ Glacier,Climate,Wind,0.992,b,1.023,0.9833,1.017,1.003,-0.059,
,Precipitation,Snow melt/ Glacier,Climate,Vegetative Cover,0.9582,b,0.8757,0.9764,0.9764,0.9582,0.068,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,1.07,b,0.86,0.97,1.05,1.05,-0.056,
,Precipitation,Rainfall,Climate,Vegetative Cover,0.9582,b,0.8757,0.9764,0.9764,0.9582,-0.175,
,PDSI Index,,,,0.277,,0.277,0.357,0.277,0.277,0.134,
 ,,,,,,,,,,,,
