Precipitation	sepalWidth	petalLength	petalWidth	species
70.13124593	2015			Alameda
56.03750102	2014			Alameda
60.69792175	2013			Alameda
79.6083374	2012			Alameda
81.83749898	2011			Alameda
46.2895813	2010			Alameda
45.28541565	2009			Alameda
48.20208232	2008			Alameda
59.9854126	2007			Alameda
65.27291361	2006			Alameda
52.25624593	2005			Alameda
39.54166412	2015			San Francisco
29.10833232	2014			San Francisco
31.19582876	2013			San Francisco
102.0792083	2012			San Francisco
49.9604187	2011			San Francisco
24.48958079	2010			San Francisco
28.10000102	2009			San Francisco
31.4604187	2008			San Francisco
34.82708486	2007			San Francisco
36.83958435	2006			San Francisco
30.16666667	2005			San Francisco
38.55208333	2015			San Mateo
25.68125153	2014			San Mateo
26.40208181	2013			San Mateo
108.2792583	2012			San Mateo
41.06041718	2011			San Mateo
21.7104187	2010			San Mateo
25.41249847	2009			San Mateo
25.42708333	2008			San Mateo
31.14375051	2007			San Mateo
29.83958435	2006			San Mateo
25.84166463	2005			San Mateo
81.48333232	2015			Santa Clara
62.45624797	2014			Santa Clara
62.55832926	2013			Santa Clara
87.59792074	2012			Santa Clara
103.7375081	2011			Santa Clara
52.18958028	2010			Santa Clara
56.6958313	2009			Santa Clara
62.8833313	2008			Santa Clara
69.48333232	2007			Santa Clara
71.21042379	2006			Santa Clara
59.32708232	2005			Santa Clara
25.1958313	2015			Santa Cruz 
17.72916667	2014			Santa Cruz 
19.46250025	2013			Santa Cruz 
25.05833435	2012			Santa Cruz 
31.90208435	2011			Santa Cruz 
15.01458359	2010			Santa Cruz 
17.51458359	2009			Santa Cruz 
19.65624873	2008			Santa Cruz 
20.5020841	2007			Santa Cruz 
23.46458181	2006			Santa Cruz 
18.25833257	2005			Santa Cruz 
