mu,dataname,sigma,opp,result,SNo,date
"344,000",weather_central,290.31746,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,1,2013-08-10T00:00:00
"207,000",Weather_jefferson,260.4865327,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,2,2013-08-18T00:00:00
"891,000",Weather_north,225.673906,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,3,2013-08-23T00:00:00
"253,000",Weather_siliconvalley,214.2453252,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,4,2013-09-01T00:00:00
"712,000",Weather_south,205.6743707,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,5,2013-09-14T00:00:00
"201,000",Weather_west,185.7162716,http://www.ipm.ucdavis.edu/WEATHER/#WEATHERDATA,1,6,2013-09-18T00:00:00
"183,000",Fullwaterusage_california,179.8340403,http://waterdata.usgs.gov/ca/nwis/water_use/,10,7,2013-09-21T00:00:00
"203,000",Reservoir,171.2705113,http://cdec.water.ca.gov/cdecapp/resapp/getResGraphsMain.action,10,8,2013-09-28T00:00:00
"449,000",Climate_index,157.7207076,http://cal-adapt.org/data/tabular/,10,9,2013-10-01T00:00:00
"113,000",Vegetation_index,150.534137,http://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD13A2_M_NDVI,10,10,2013-10-05T00:00:00
