Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
#NAME?,Reservoir Level,Sickness and disability,,,0,,0,0,0,0
#NAME?,Reservoir Level,Old age,Federal employee retirement and disability (602),Special Benefits,0.38,b,,,,0.38
--Current Operations - Environmental Health (NEW for 2007) (E27),PDSI,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0,0,0,0
--Construction - Environmental Health (NEW for 2007) (F27),PDSI,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,,0,0,0,0
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),PDSI,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0,0,0,0
#NAME?,PDSI,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
#NAME?,PDSI,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",-0.15,b,,,,-0.15
#NAME?,PDSI,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
#NAME?,PDSI,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569
#NAME?,PDSI,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144
#NAME?,PDSI,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194
#NAME?,PDSI,R&D Health,Health research and training (552),CDCWide Activities and Program Support,-0.201,b,,,,-0.201
#NAME?,PDSI,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712
#NAME?,PDSI,R&D Health,Health research and training (552),National Institutes of Health,10,b,,,,10
#NAME?,PDSI,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167
#NAME?,PDSI,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138
#NAME?,PDSI,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,-0.051,b,,,,-0.051
553,PDSI,R&D Health,-553,,0,,0,0,0,0
#NAME?,PDSI,Health n.e.c.,,,0,,0,0,0,0
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Department of Defense MedicareEligible Retiree PDSI Fund,9.727,b,,,,9.727
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Biodefense Countermeasures,0.282,b,,,,0.282
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Employees and Retired Employees Health Benefits Funds,-0.059,b,,,,-0.059
---United Mine Workers of America 1992 Benefit Plan,PDSI,Vendor Payments (Welfare),PDSI services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Transfers from Abandoned Mine Reclamation Fund,-0.056,b,,,,-0.056
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,-0.175,b,,,,-0.175
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134
---United Mine Workers of America 1993 Benefit Plan,PDSI,Vendor Payments (Welfare),PDSI services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Health Resources and Services,2.463,b,,,,2.463
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Health Resources and Services,3.181,b,,,,3.181
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Health Resources and Services,1.679,b,,,,1.679
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Indian Health Services,4.161,b,,,,4.161
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Indian Health Services,0.156,b,,,,0.156
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Indian Health Facilities,0.397,b,,,,0.397
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),CDCWide Activities and Program Support,1.936,b,,,,1.936
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),CDCWide Activities and Program Support,3.458,b,,,,3.458
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),World Trade Center Health Program Fund,0.161,b,,,,0.161
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Rate Review Grants,0.08,b,,,,0.08
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Affordable Insurance Exchange Grants,1.087,b,,,,1.087
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Program Management,0.468,b,,,,0.468
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Grants to States for Medicaid,282.819,b,,,,282.819
---Children's Health Insurance Fund,PDSI,Vendor Payments (Welfare),PDSI services (551),Children's Health Insurance Fund,10.027,b,,,,10.027
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),State Grants and Demonstrations,0.474,b,,,,0.474
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Child Enrollment Contingency Fund,0.2,b,,,,0.2
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Health Insurance Reform Implementation Fund,0.344,b,,,,0.344
#NAME?,PDSI,Vendor Payments (Welfare),PDSI services (551),Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418
